theme,amenity,name,lat,lon
education,prep_school,Mind Stretcher,1.3913650,103.8759223
education,music_school,Vienna Music School,1.3916211,103.8758799
education,prep_school,BlueTree Education,1.3917076,103.8761305
education,prep_school,Mavis Tutorial Centre,1.3911672,103.8759024
education,prep_school,Aspire Hub Education,1.3914655,103.8759019
education,school,Computhink,1.3334470,103.8502117
education,kindergarten,LeClare@Shenton,1.2761450,103.8486217
education,kindergarten,Catholic Kindergarten,1.3599363,103.8824775
education,kindergarten,Learning Vision @ HwaChong,1.3250521,103.7997442
education,kindergarten,Al-Amin Education Centre,1.3727582,103.9464187
education,music_school,Music Delight School,1.3723396,103.9496487
education,prep_school,Sciencewerkz,1.3723640,103.9495342
education,prep_school,JustEdu Learning Centre (Pasir Ris),1.3724549,103.9494282
education,language_school,Beijing Language School,1.3724008,103.9497240
education,prep_school,I Can Read,1.3725249,103.9494217
education,prep_school,Stalford Learning Centre,1.3724627,103.9497333
education,kindergarten,Das kleine Haus,1.3340090,103.7960755
education,music_school,Academy of Rock,1.3115624,103.7948984
education,school,Hwa Chong International School,1.3286488,103.8022703
education,kindergarten,YWCA McNair Road Child Development Centre,1.3186316,103.8561150
education,kindergarten,MapleBear,1.3034822,103.8470476
education,kindergarten,Sparkletots,1.3335584,103.8485443
education,kindergarten,,1.3050469,103.7646372
education,kindergarten,PCF Sparkletots,1.4130988,103.8994607
education,kindergarten,My First Skool,1.3229093,103.8565757
education,kindergarten,Sparkle Tots,1.3225444,103.8562431
education,kindergarten,Sparkletots,1.3343043,103.8451803
education,kindergarten,Kinderland,1.3469094,103.9628299
education,kindergarten,PCF Sparkletots @ Ulu Pandan Blk 24 (DS),1.3091711,103.7853921
education,kindergarten,PCF Sparkletots @ Telok Blangah Blk 2 (KN),1.3032317,103.7826525
education,kindergarten,Little Atlas Preschool,1.3229417,103.9057802
education,library,library@Esplanade,1.2893363,103.8562961
education,kindergarten,Sparkletots,1.3125847,103.9074993
education,kindergarten,MOE Kindergarten @ West Spring,1.3890384,103.7666019
education,kindergarten,Learning Vision Hwa Chong,1.3251155,103.7997150
education,college,SIM University,1.3260038,103.7999874
education,kindergarten,Carpe Diem Kidz Playschool,1.4563338,103.8296787
education,school,Tree Art,1.4169341,103.9020743
education,school,Play Facto School,1.4167637,103.9021450
education,music_school,Joy Waltz Academy,1.4168878,103.9021706
education,prep_school,Mind Stretcher,1.4168101,103.9022184
education,prep_school,VisibleMATH,1.3528153,103.8365461
education,music_school,Fisherman Music School,1.3527203,103.8366724
education,school,J Carter Centre,1.3529230,103.8361818
education,prep_school,Busy Bees Learning Centre,1.3528851,103.8360606
education,prep_school,Academia,1.3526826,103.8367046
education,prep_school,HCL Education Centre,1.3534007,103.8353384
education,prep_school,Tim Gan Math Learning Centre,1.3534761,103.8355872
education,prep_school,Kumon,1.3533619,103.8353583
education,prep_school,Graviton Academy,1.3535247,103.8356874
education,prep_school,Academia,1.3533583,103.8352731
education,prep_school,Aekedim Mastery,1.3535002,103.8356359
education,prep_school,Uptas Learning Hub,1.3533960,103.8353663
education,music_school,The Tiny Music Academy,1.3543916,103.8358569
education,music_school,Yamaha,1.3545823,103.8310871
education,prep_school,Learning Point,1.3546348,103.8313939
education,music_school,Aureus Academy,1.3546624,103.8303808
education,prep_school,My Math Story Enrichment Centre,1.3367778,103.7794020
education,prep_school,Eye Level Learning Center,1.3369801,103.7792139
education,language_school,LCentral English,1.3367404,103.7835473
education,school,Happy Art Loft,1.3367270,103.7836366
education,prep_school,Perceptum Education,1.3356520,103.7831497
education,kindergarten,MindChamps Preschool,1.3039685,103.8360691
education,music_school,Edvox,1.3036791,103.8359398
education,prep_school,Berries World @ Kovan Simon Road,1.3619530,103.8858290
education,kindergarten,Sparkletots,1.2712848,103.8103260
education,kindergarten,Sparkletots,1.2840427,103.8193516
education,library,Bishan Public Library,1.3499462,103.8488513
education,college,新加坡中医学院,1.3321896,103.8513428
education,kindergarten,Mulberry Preschool,1.3332862,103.8523760
education,kindergarten,Little Quran Kids,1.3023203,103.8622476
education,prep_school,The Blackboard Learning Centre,1.3021015,103.8625118
education,music_school,Teacher Ping School Of Music,1.3020214,103.8623508
education,school,Code Bright,1.3024208,103.8623680
education,dancing_school,MADDspace,1.2999604,103.8492914
education,kindergarten,Sparkletots,1.4431006,103.8016170
education,kindergarten,Worldly-wise Preschool,1.3290421,103.8486588
education,music_school,Dance Theatre Arts,1.3290687,103.8483752
education,school,Acetek baking school,1.2842802,103.8160580
education,driving_school,ComfortDelGro Driving Centre Kovan Branch,1.3598670,103.8844692
education,music_school,Finger Waltz Music & Dance,1.3039904,103.9014773
education,music_school,J Music,1.3040734,103.9014087
education,music_school,Artz Platform,1.3041484,103.9015544
education,music_school,@Libitum,1.3041935,103.9017324
education,school,Chess Academy (Singapore),1.3040597,103.9016351
education,prep_school,Glenn Lee Learning Centee,1.3038192,103.9012153
education,music_school,Dandelion School of Music,1.3045753,103.9036103
education,language_school,Chinese Wonderland Learning Centre,1.3047597,103.9041322
education,school,Art Zillions,1.3048454,103.9040924
education,prep_school,Tutor Next Door,1.3046279,103.9042247
education,dancing_school,The Ballet & Music Company,1.3044342,103.9043514
education,prep_school,MindSpace,1.3047187,103.9041611
education,prep_school,Science Solutions,1.3043710,103.9044074
education,prep_school,Kumon,1.3038325,103.9028256
education,prep_school,Oodles Learning,1.3037315,103.9028817
education,school,Art Zone,1.3037821,103.9029959
education,prep_school,Gifted & Talented Education,1.3036958,103.9028917
education,kindergarten,Growing Up Gifted Preschool,1.3037118,103.9030177
education,prep_school,Play Facto School,1.3040179,103.9028007
education,prep_school,The Eton Academy,1.3051196,103.9050117
education,dancing_school,All That Jazz,1.3049955,103.9050993
education,music_school,Kindermusik,1.3051958,103.9048856
education,kindergarten,Children's Cove Preschool,1.3238223,103.8483840
education,school,Bricks 4 Kidz,1.3386744,103.7932241
education,music_school,The Music Room @ Bukit Timah,1.3391554,103.7929744
education,prep_school,School of Mathcraft,1.3392076,103.7929624
education,kindergarten,KiZroo,1.3388079,103.7930971
education,music_school,Drum Tutor,1.3387528,103.7930804
education,dancing_school,Sissone Dance Art,1.3387193,103.7931637
education,school,The LPN Art School,1.3385050,103.7931568
education,music_school,Kindermusik,1.3958481,103.8922107
education,prep_school,Eye Level Learning Center,1.3958759,103.8937371
education,prep_school,Salford Learning Centre,1.3426389,103.9532234
education,prep_school,Mindstretcher,1.3427993,103.9531887
education,prep_school,Kent Ridge Education,1.3429864,103.9528594
education,music_school,Cristofori Music School,1.3425510,103.9531612
education,language_school,Hua Cheng,1.3427176,103.9532054
education,prep_school,Stalford Learning Centre,1.4024443,103.9131783
education,kindergarten,PCF Sparkletots Preschool,1.3824224,103.8939773
education,kindergarten,Little Footprints Preschool,1.3827220,103.8940756
education,prep_school,The Mathify Learning Studio,1.2870373,103.8451589
education,music_school,Sho Music Studio,1.2871356,103.8450001
education,prep_school,Kumon,1.3859352,103.8732165
education,kindergarten,PCF Sparkletots Preschool,1.3940056,103.8970322
education,school,Dyslexia Association Of Singapore Sengkang Learning Centre,1.3931066,103.8963174
education,kindergarten,MindChamps,1.3004914,103.8420800
education,kindergarten,Berry Tree Preschool,1.3909777,103.8904139
education,language_school,HCL Education Centre,1.3913608,103.8901381
education,kindergarten,My First Skool,1.3882905,103.9013792
education,kindergarten,PCF Sparkletots Preschool,1.3892826,103.9015407
education,language_school,Hua Cheng,1.3850465,103.9024054
education,kindergarten,My First Skool,1.3826418,103.8993869
education,kindergarten,E-Bridge Pre-School,1.3898260,103.8943419
education,school,,1.3461885,103.6816202
education,prep_school,Learning Journey Education Centre,1.4001092,103.9189361
education,kindergarten,My First Skool,1.3980277,103.8990416
education,school,Kumon,1.3003699,103.8372966
education,prep_school,AGrader Learning Centre,1.3916437,103.8771877
education,kindergarten,EtonHouse Pre-School @ 223 Mountbatten,1.3082715,103.8790391
education,library,nlb_logo,1.3336416,103.8503180
education,dancing_school,Yan Ballet Academy,1.3030869,103.8733450
education,music_school,The Musical Fairy,1.3031305,103.8732806
education,prep_school,The Physics Cafe,1.3587351,103.8444148
education,prep_school,Mainspring Learning Centre,1.4044058,103.9017576
education,kindergarten,PCF Sparkletots Preschool,1.3953045,103.8947787
entertainment,cinema,Cathay Cineplex,1.2994308,103.8479026
entertainment,theatre,Fort Canning Open Air Green,1.2953885,103.8474312
entertainment,cinema,Shaw Theatres Lido,1.3057891,103.8317959
entertainment,cinema,,1.2934471,103.8516455
entertainment,cinema,FilmGarde Bugis+,1.2997852,103.8541333
entertainment,cinema,GV Jurong Point,1.3399855,103.7062119
entertainment,fountain,,1.3124053,103.9391697
entertainment,fountain,,1.2771163,103.8474832
entertainment,community_centre,Makespace Singapore,1.3097428,103.8618675
entertainment,fountain,Whampoa Dragon,1.3226452,103.8566962
entertainment,fountain,Varsity Park Entrance Fountain,1.2943426,103.7671589
entertainment,fountain,Fontaine in IBP,1.3286600,103.7471924
entertainment,fountain,,1.3329482,103.7761804
entertainment,theatre,,1.3320350,103.7767571
entertainment,theatre,Singapore Repertory Theatre,1.2916653,103.8417404
entertainment,fountain,,1.4074852,103.9020338
entertainment,fountain,,1.4074637,103.9021652
entertainment,fountain,,1.4074048,103.9022859
entertainment,fountain,,1.4073055,103.9024040
entertainment,theatre,Goodman Arts Centre,1.3039524,103.8849688
entertainment,fountain,,1.2498674,103.8212134
entertainment,cinema,Shaw Theatres Balestier,1.3254267,103.8510221
entertainment,fountain,Gold Flow Fountain,1.2817731,103.8698039
entertainment,nightclub,Club Nana,1.2891778,103.8427113
